,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
100,6.0,16,0.2,150,"[14, 18, 5, 15, 1, 10, 2, 17, 9, 7, 12, 19, 0, 0, 13, 10, 5, 7, 8, 4]",1.491864051000448,2048
101,4.0,32,0.2,150,"[11, 8, 5, 15, 1, 10, 19, 17, 0, 3, 12, 6, 18, 9, 13, 16, 0, 7, 14, 2]",2.8119697280017135,2048
102,2.0,64,0.2,150,"[11, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 7, 13, 16, 3, 8, 14, 4]",5.414238913999725,2048
103,2.0,128,0.2,150,"[11, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 7, 13, 16, 3, 8, 14, 4]",10.572157214999606,2048
104,1.0,256,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",21.1353603259995,2048
105,1.0,512,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",42.0736712350008,2048
106,1.0,1024,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",53.03930124099861,2048
107,1.0,2048,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",53.03930124099861,2048
108,17.0,0,0.3,150,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.07631913500154042,2048
109,10.0,2,0.3,150,"[4, 13, 4, 18, 13, 16, 7, 4, 3, 1, 16, 7, 0, 11, 9, 1, 6, 17, 12, 0]",0.23777565999989747,2048
110,10.0,4,0.3,150,"[4, 13, 4, 18, 13, 16, 7, 4, 3, 1, 16, 7, 0, 11, 9, 1, 6, 17, 12, 0]",0.4396081660015625,2048
111,9.0,8,0.3,150,"[14, 16, 0, 13, 15, 2, 0, 17, 9, 1, 17, 7, 3, 0, 18, 8, 19, 13, 13, 1]",0.8056788840003719,2048
112,8.0,16,0.3,150,"[6, 3, 17, 0, 12, 2, 16, 18, 9, 19, 13, 1, 3, 5, 3, 8, 10, 15, 13, 18]",1.4864651300013065,2048
113,6.0,32,0.3,150,"[4, 6, 3, 8, 19, 7, 16, 19, 15, 1, 18, 9, 2, 0, 2, 12, 17, 13, 11, 0]",2.803335734002758,2048
114,3.0,64,0.3,150,"[4, 6, 13, 8, 19, 7, 15, 19, 14, 4, 18, 9, 2, 5, 17, 12, 1, 16, 11, 0]",5.392866938000225,2048
115,0.0,128,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
116,0.0,256,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
117,0.0,512,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
118,0.0,1024,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
119,0.0,2048,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
120,17.0,0,0.4,150,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.07550166999862995,2048
121,10.0,2,0.4,150,"[14, 1, 14, 15, 8, 1, 13, 1, 10, 1, 13, 19, 9, 16, 12, 8, 17, 0, 7, 3]",0.23713388499891153,2048
122,10.0,4,0.4,150,"[14, 1, 14, 15, 8, 1, 13, 1, 10, 1, 13, 19, 9, 16, 12, 8, 17, 0, 7, 3]",0.439677385998948,2048
123,8.0,8,0.4,150,"[16, 18, 9, 15, 6, 0, 17, 11, 4, 12, 18, 2, 10, 19, 0, 4, 3, 17, 8, 1]",0.8042175939990557,2048
124,8.0,16,0.4,150,"[16, 18, 9, 15, 6, 0, 17, 11, 4, 12, 18, 2, 10, 19, 0, 4, 3, 17, 8, 1]",1.4851294910004071,2048
125,7.0,32,0.4,150,"[16, 18, 8, 10, 17, 14, 3, 0, 0, 9, 12, 14, 2, 2, 13, 19, 16, 13, 5, 7]",2.797114065000642,2048
126,3.0,64,0.4,150,"[12, 18, 9, 0, 0, 0, 14, 6, 10, 19, 4, 16, 13, 19, 3, 1, 7, 5, 8, 17]",5.376190783998027,2048
127,2.0,128,0.4,150,"[2, 18, 9, 15, 0, 0, 14, 6, 1, 12, 4, 16, 13, 19, 3, 1, 7, 5, 8, 17]",10.49850388899722,2048
128,1.0,256,0.4,150,"[10, 18, 9, 15, 0, 2, 14, 6, 1, 12, 4, 16, 13, 19, 3, 1, 7, 5, 8, 17]",20.745774343999074,2048
129,1.0,512,0.4,150,"[10, 18, 9, 15, 0, 2, 14, 6, 1, 12, 4, 16, 13, 19, 3, 1, 7, 5, 8, 17]",41.16083570099727,2048
130,1.0,1024,0.4,150,"[10, 18, 9, 15, 0, 2, 14, 6, 1, 12, 4, 16, 13, 19, 3, 1, 7, 5, 8, 17]",51.045624030997715,2048
131,1.0,2048,0.4,150,"[10, 18, 9, 15, 0, 2, 14, 6, 1, 12, 4, 16, 13, 19, 3, 1, 7, 5, 8, 17]",51.045624030997715,2048
132,17.0,0,0.5,150,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.07535584899960668,2048
133,10.0,2,0.5,150,"[1, 3, 9, 13, 10, 17, 0, 18, 1, 4, 12, 1, 19, 6, 13, 16, 2, 15, 14, 7]",0.2392663589998847,2048
134,10.0,4,0.5,150,"[1, 3, 9, 13, 10, 17, 0, 18, 1, 4, 12, 1, 19, 6, 13, 16, 2, 15, 14, 7]",0.4492071459972067,2048
135,9.0,8,0.5,150,"[5, 1, 4, 0, 12, 3, 3, 17, 11, 19, 13, 3, 15, 7, 3, 6, 2, 9, 14, 18]",0.8155828649978503,2048
136,6.0,16,0.5,150,"[12, 18, 9, 0, 10, 17, 6, 1, 7, 4, 18, 16, 13, 3, 12, 8, 2, 19, 14, 7]",1.5043431289996079,2048
137,4.0,32,0.5,150,"[12, 18, 15, 0, 10, 17, 5, 1, 7, 4, 11, 16, 13, 3, 6, 8, 2, 19, 14, 7]",2.8231242829970142,2048
138,1.0,64,0.5,150,"[16, 5, 9, 6, 10, 17, 15, 1, 7, 4, 18, 16, 13, 11, 3, 8, 2, 19, 14, 0]",5.409083837999788,2048
139,1.0,128,0.5,150,"[16, 5, 9, 6, 10, 17, 15, 1, 7, 4, 18, 16, 13, 11, 3, 8, 2, 19, 14, 0]",10.526216677997581,2048
140,1.0,256,0.5,150,"[16, 5, 9, 6, 10, 17, 15, 1, 7, 4, 18, 16, 13, 11, 3, 8, 2, 19, 14, 0]",20.768816989999323,2048
141,1.0,512,0.5,150,"[16, 5, 9, 6, 10, 17, 15, 1, 7, 4, 18, 16, 13, 11, 3, 8, 2, 19, 14, 0]",41.16756547899786,2048
142,1.0,1024,0.5,150,"[16, 5, 9, 6, 10, 17, 15, 1, 7, 4, 18, 16, 13, 11, 3, 8, 2, 19, 14, 0]",44.40136821699707,2048
143,1.0,2048,0.5,150,"[16, 5, 9, 6, 10, 17, 15, 1, 7, 4, 18, 16, 13, 11, 3, 8, 2, 19, 14, 0]",44.40136821699707,2048
144,17.0,0,0.2,200,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.09815282999988995,2048
145,7.0,2,0.2,200,"[2, 9, 15, 0, 11, 5, 7, 13, 3, 9, 19, 12, 17, 1, 10, 6, 9, 4, 8, 18]",0.3121327350017964,2048
146,7.0,4,0.2,200,"[2, 9, 15, 0, 11, 5, 7, 13, 3, 9, 19, 12, 17, 1, 10, 6, 9, 4, 8, 18]",0.5761260319995927,2048
147,7.0,8,0.2,200,"[2, 9, 15, 0, 11, 5, 7, 13, 3, 9, 19, 12, 17, 1, 10, 6, 9, 4, 8, 18]",1.0514955460021156,2048
148,7.0,16,0.2,200,"[2, 9, 15, 0, 11, 5, 7, 13, 3, 9, 19, 12, 17, 1, 10, 6, 9, 4, 8, 18]",1.9480389470008959,2048
149,5.0,32,0.2,200,"[18, 8, 14, 9, 2, 0, 16, 3, 5, 1, 13, 6, 12, 6, 15, 17, 4, 19, 7, 18]",3.6902667809990817,2048
150,2.0,64,0.2,200,"[11, 8, 19, 9, 2, 0, 16, 3, 5, 8, 18, 3, 12, 6, 15, 17, 10, 1, 7, 4]",7.109162859000207,2048
151,1.0,128,0.2,200,"[11, 19, 14, 9, 2, 0, 16, 3, 5, 8, 18, 3, 12, 6, 15, 17, 10, 1, 7, 4]",13.87581206699906,2048
152,1.0,256,0.2,200,"[11, 19, 14, 9, 2, 0, 16, 3, 5, 8, 18, 3, 12, 6, 15, 17, 10, 1, 7, 4]",27.40567422100139,2048
153,1.0,512,0.2,200,"[11, 19, 14, 9, 2, 0, 16, 3, 5, 8, 18, 3, 12, 6, 15, 17, 10, 1, 7, 4]",54.44229608000023,2048
154,1.0,1024,0.2,200,"[11, 19, 14, 9, 2, 0, 16, 3, 5, 8, 18, 3, 12, 6, 15, 17, 10, 1, 7, 4]",62.144986752002296,2048
155,1.0,2048,0.2,200,"[11, 19, 14, 9, 2, 0, 16, 3, 5, 8, 18, 3, 12, 6, 15, 17, 10, 1, 7, 4]",62.144986752002296,2048
156,17.0,0,0.3,200,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.10023652400195715,2048
157,11.0,2,0.3,200,"[4, 8, 15, 16, 2, 0, 7, 17, 17, 3, 10, 3, 14, 18, 17, 5, 3, 10, 6, 10]",0.32013977200040244,2048
