,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
19,1.0,128,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2]",0.14604758099812898,1,2048
20,1.0,256,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2]",0.1683587389998138,1,2048
21,1.0,512,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2]",0.20783800299977884,1,2048
22,1.0,1024,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2]",0.22483097899748827,1,2048
23,1.0,2048,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2]",0.22483097899748827,1,2048
24,12.0,0,10,"[2, 3, 0, 0, 3, 0, 3, 2, 1, 3, 3, 3, 3, 0, 1, 3, 1, 3, 0, 1]",0.2374568140003248,2,2048
25,9.0,2,10,"[2, 3, 0, 0, 3, 0, 3, 2, 1, 3, 3, 3, 3, 0, 1, 3, 1, 1, 0, 1]",0.2379246199998306,2,2048
26,9.0,4,10,"[2, 3, 0, 0, 3, 0, 3, 2, 1, 3, 3, 3, 3, 0, 1, 3, 1, 1, 0, 1]",0.2504353689982963,2,2048
27,7.0,8,10,"[2, 3, 0, 0, 3, 0, 2, 2, 1, 3, 3, 3, 3, 0, 1, 3, 1, 1, 0, 1]",0.26341923300060444,2,2048
28,6.0,16,10,"[2, 3, 0, 0, 3, 0, 2, 2, 1, 2, 3, 3, 3, 0, 1, 3, 1, 1, 0, 1]",0.27702426299947547,2,2048
29,5.0,32,10,"[2, 3, 0, 0, 3, 0, 2, 2, 1, 2, 3, 3, 3, 0, 1, 3, 0, 1, 0, 1]",0.29170102100033546,2,2048
30,1.0,64,10,"[2, 3, 0, 1, 3, 0, 2, 2, 2, 2, 3, 3, 3, 0, 1, 1, 0, 1, 0, 1]",0.3083505949980463,2,2048
31,1.0,128,10,"[2, 3, 0, 1, 3, 0, 2, 2, 2, 2, 3, 3, 3, 0, 1, 1, 0, 1, 0, 1]",0.32934228600061033,2,2048
32,1.0,256,10,"[2, 3, 0, 1, 3, 0, 2, 2, 2, 2, 3, 3, 3, 0, 1, 1, 0, 1, 0, 1]",0.3602343109996582,2,2048
33,1.0,512,10,"[2, 3, 0, 1, 3, 0, 2, 2, 2, 2, 3, 3, 3, 0, 1, 1, 0, 1, 0, 1]",0.41105740900093224,2,2048
34,1.0,1024,10,"[2, 3, 0, 1, 3, 0, 2, 2, 2, 2, 3, 3, 3, 0, 1, 1, 0, 1, 0, 1]",0.4334076049999567,2,2048
35,1.0,2048,10,"[2, 3, 0, 1, 3, 0, 2, 2, 2, 2, 3, 3, 3, 0, 1, 1, 0, 1, 0, 1]",0.4334076049999567,2,2048
