,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
64,18.0,16,10,"[7, 19, 12, 9, 8, 2, 9, 14, 13, 7, 16, 7, 18, 5, 19, 19, 10, 18, 17, 6]",4.731964085000072,5,2048
65,10.0,32,10,"[0, 19, 12, 9, 8, 2, 9, 14, 13, 4, 16, 7, 10, 5, 15, 8, 10, 18, 17, 6]",4.796682768999744,5,2048
66,8.0,64,10,"[0, 19, 12, 17, 8, 2, 9, 14, 13, 4, 16, 7, 10, 5, 15, 8, 0, 18, 17, 6]",4.870723255000485,5,2048
67,8.0,128,10,"[0, 19, 12, 17, 8, 2, 9, 14, 13, 4, 16, 7, 10, 5, 15, 8, 0, 18, 17, 6]",4.969600119999086,5,2048
68,2.0,256,10,"[0, 19, 12, 5, 8, 2, 9, 14, 13, 4, 16, 7, 10, 3, 15, 8, 1, 11, 17, 6]",5.1196028199992725,5,2048
69,2.0,512,10,"[0, 19, 12, 5, 8, 2, 9, 14, 13, 4, 16, 7, 10, 3, 15, 8, 1, 11, 17, 6]",5.370554113997059,5,2048
70,2.0,1024,10,"[0, 19, 12, 5, 8, 2, 9, 14, 13, 4, 16, 7, 10, 3, 15, 8, 1, 11, 17, 6]",5.602525303998846,5,2048
71,2.0,2048,10,"[0, 19, 12, 5, 8, 2, 9, 14, 13, 4, 16, 7, 10, 3, 15, 8, 1, 11, 17, 6]",5.602525303998846,5,2048
72,21.0,0,10,"[8, 0, 11, 8, 9, 0, 7, 8, 0, 6, 2, 14, 0, 7, 5, 11, 14, 4, 10, 10]",5.655427546997089,6,2048
73,21.0,2,10,"[8, 0, 11, 8, 9, 0, 7, 8, 0, 6, 2, 14, 0, 7, 5, 11, 14, 4, 10, 10]",5.657403624998551,6,2048
74,18.0,4,10,"[8, 0, 11, 8, 9, 0, 2, 8, 9, 6, 2, 14, 0, 7, 5, 11, 14, 4, 10, 10]",5.7128742189997865,6,2048
75,16.0,8,10,"[8, 0, 11, 8, 9, 0, 2, 8, 9, 6, 2, 14, 12, 7, 5, 11, 14, 4, 10, 10]",5.772287010997388,6,2048
76,13.0,16,10,"[8, 17, 11, 8, 9, 0, 2, 8, 9, 6, 2, 14, 12, 7, 5, 11, 14, 4, 10, 3]",5.834530705000361,6,2048
77,9.0,32,10,"[11, 17, 11, 16, 9, 0, 2, 8, 18, 6, 2, 14, 12, 7, 5, 2, 14, 4, 10, 3]",5.904123010997864,6,2048
78,5.0,64,10,"[11, 17, 1, 16, 9, 0, 2, 8, 18, 6, 13, 14, 12, 7, 5, 2, 14, 19, 10, 3]",5.985705099999905,6,2048
79,4.0,128,10,"[11, 17, 1, 16, 9, 0, 15, 8, 18, 6, 13, 14, 12, 7, 5, 2, 14, 19, 10, 3]",6.0943286570000055,6,2048
80,4.0,256,10,"[11, 17, 1, 16, 9, 0, 15, 8, 18, 6, 13, 14, 12, 7, 5, 2, 14, 19, 10, 3]",6.254365000997495,6,2048
81,3.0,512,10,"[11, 17, 1, 16, 9, 0, 15, 8, 18, 6, 13, 18, 12, 7, 5, 2, 14, 19, 10, 3]",6.532466544998897,6,2048
82,3.0,1024,10,"[11, 17, 1, 16, 9, 0, 15, 8, 18, 6, 13, 18, 12, 7, 5, 2, 14, 19, 10, 3]",6.958516638998844,6,2048
83,3.0,2048,10,"[11, 17, 1, 16, 9, 0, 15, 8, 18, 6, 13, 18, 12, 7, 5, 2, 14, 19, 10, 3]",6.958516638998844,6,2048
84,19.0,0,10,"[18, 7, 14, 2, 11, 14, 2, 4, 17, 1, 5, 7, 17, 3, 10, 8, 6, 5, 4, 1]",7.02084805299819,7,2048
85,19.0,2,10,"[18, 7, 14, 2, 11, 14, 2, 4, 17, 1, 5, 7, 17, 3, 10, 8, 6, 5, 4, 1]",7.022922312000446,7,2048
86,17.0,4,10,"[18, 7, 14, 2, 11, 19, 2, 4, 17, 1, 5, 7, 15, 3, 10, 8, 6, 5, 4, 1]",7.086468161996891,7,2048
87,16.0,8,10,"[18, 7, 14, 2, 11, 19, 2, 4, 17, 1, 5, 7, 15, 17, 10, 8, 6, 5, 4, 1]",7.150363182998262,7,2048
88,12.0,16,10,"[18, 7, 14, 2, 11, 19, 2, 4, 17, 1, 5, 2, 15, 17, 10, 8, 6, 6, 4, 1]",7.220400450998568,7,2048
